date,price
10-Feb-2014 06:29:08,1320
10-Feb-2014 06:29:38,1195
10-Feb-2014 06:30:08,2046
10-Feb-2014 06:30:38,1151
10-Feb-2014 06:31:08,1152
10-Feb-2014 06:31:38,1149
10-Feb-2014 06:32:08,1258
10-Feb-2014 06:32:38,1257
10-Feb-2014 06:33:38,1254
10-Feb-2014 06:34:08,1256
10-Feb-2014 06:36:08,1255
10-Feb-2014 06:36:38,1254
10-Feb-2014 06:37:08,1248
10-Feb-2014 06:37:38,1361
10-Feb-2014 06:38:08,1237
10-Feb-2014 06:38:38,1236
10-Feb-2014 06:39:08,1259
10-Feb-2014 06:39:38,1239
10-Feb-2014 06:40:08,1240
10-Feb-2014 06:40:38,887
10-Feb-2014 06:41:38,886
10-Feb-2014 06:42:38,887
10-Feb-2014 06:43:08,885
10-Feb-2014 06:43:38,789
10-Feb-2014 06:44:38,1629
10-Feb-2014 06:45:08,1756
10-Feb-2014 06:45:38,1669
10-Feb-2014 06:46:08,1625
10-Feb-2014 06:46:38,791
10-Feb-2014 06:47:08,831
10-Feb-2014 06:48:08,832
10-Feb-2014 06:48:37,834
10-Feb-2014 06:49:07,833
10-Feb-2014 06:49:37,736
10-Feb-2014 06:50:07,776
10-Feb-2014 06:50:37,930
10-Feb-2014 06:51:07,928
10-Feb-2014 06:51:37,921
10-Feb-2014 06:52:07,922
10-Feb-2014 06:52:40,921
10-Feb-2014 06:53:07,956
10-Feb-2014 06:53:37,918
10-Feb-2014 06:54:37,919
10-Feb-2014 06:55:07,918
10-Feb-2014 06:55:37,916
10-Feb-2014 06:56:37,955
10-Feb-2014 06:57:07,916
10-Feb-2014 06:57:37,915
10-Feb-2014 06:58:07,823
10-Feb-2014 06:58:37,1307
10-Feb-2014 06:59:07,936
10-Feb-2014 06:59:37,932
10-Feb-2014 07:00:07,937
10-Feb-2014 07:00:37,938
10-Feb-2014 07:01:07,939
10-Feb-2014 07:01:37,936
10-Feb-2014 07:02:37,939
10-Feb-2014 07:03:37,827
10-Feb-2014 07:04:37,825
10-Feb-2014 07:05:37,826
10-Feb-2014 07:06:07,825
10-Feb-2014 07:06:37,932
10-Feb-2014 07:07:37,1767
10-Feb-2014 07:08:37,1890
10-Feb-2014 07:09:37,1443
